ID RẠP;ID CINEMA;TIME;ID MOVIE
1;5;12/04/2023 08:00:00;6
1;6;12/04/2023 08:00:00;4
1;7;12/04/2023 08:00:00;8
1;8;12/04/2023 08:00:00;4
2;1;12/04/2023 08:00:00;5
2;2;12/04/2023 08:00:00;3
2;3;12/04/2023 08:00:00;7
2;4;12/04/2023 08:00:00;6
3;9;12/04/2023 08:00:00;7
3;10;12/04/2023 08:00:00;5
3;11;12/04/2023 08:00:00;6
3;12;12/04/2023 08:00:00;6
4;13;12/04/2023 08:00:00;4
4;14;12/04/2023 08:00:00;1
4;15;12/04/2023 08:00:00;6
4;16;12/04/2023 08:00:00;8
5;17;12/04/2023 08:00:00;5
5;18;12/04/2023 08:00:00;2
5;19;12/04/2023 08:00:00;8
5;20;12/04/2023 08:00:00;2
1;5;12/04/2023 10:49:00;8
1;6;12/04/2023 09:46:00;6
1;7;12/04/2023 10:22:00;8
1;8;12/04/2023 09:46:00;3
2;1;12/04/2023 11:42:00;5
2;2;12/04/2023 10:27:00;1
2;3;12/04/2023 10:34:00;4
2;4;12/04/2023 10:49:00;4
3;9;12/04/2023 10:34:00;6
3;10;12/04/2023 11:42:00;1
3;11;12/04/2023 10:49:00;8
3;12;12/04/2023 10:49:00;8
4;13;12/04/2023 09:46:00;3
4;14;12/04/2023 10:40:00;5
4;15;12/04/2023 10:49:00;5
4;16;12/04/2023 10:22:00;8
5;17;12/04/2023 11:42:00;4
5;18;12/04/2023 10:20:00;2
5;19;12/04/2023 10:22:00;6
5;20;12/04/2023 10:20:00;2
1;5;12/04/2023 13:11:00;1
1;6;12/04/2023 12:35:00;2
1;7;12/04/2023 12:44:00;3
1;8;12/04/2023 12:13:00;2
2;1;12/04/2023 15:24:00;7
2;2;12/04/2023 13:07:00;7
2;3;12/04/2023 12:20:00;8
2;4;12/04/2023 12:35:00;8
3;9;12/04/2023 13:23:00;8
3;10;12/04/2023 14:22:00;7
3;11;12/04/2023 13:11:00;8
3;12;12/04/2023 13:11:00;3
4;13;12/04/2023 12:13:00;5
4;14;12/04/2023 14:22:00;1
4;15;12/04/2023 14:31:00;7
4;16;12/04/2023 12:44:00;7
5;17;12/04/2023 13:28:00;7
5;18;12/04/2023 12:40:00;2
5;19;12/04/2023 13:11:00;8
5;20;12/04/2023 12:40:00;5
1;5;12/04/2023 15:51:00;6
1;6;12/04/2023 14:55:00;7
1;7;12/04/2023 15:11:00;3
1;8;12/04/2023 14:33:00;6
2;1;12/04/2023 17:58:00;1
2;2;12/04/2023 15:41:00;4
2;3;12/04/2023 14:42:00;1
2;4;12/04/2023 14:57:00;7
3;9;12/04/2023 15:45:00;8
3;10;12/04/2023 16:56:00;7
3;11;12/04/2023 15:33:00;7
3;12;12/04/2023 15:38:00;5
4;13;12/04/2023 15:55:00;6
4;14;12/04/2023 17:02:00;3
4;15;12/04/2023 17:05:00;5
4;16;12/04/2023 15:18:00;6
5;17;12/04/2023 16:02:00;3
5;18;12/04/2023 15:00:00;3
5;19;12/04/2023 15:33:00;4
5;20;12/04/2023 16:22:00;7
1;5;12/04/2023 18:40:00;3
1;6;12/04/2023 17:29:00;4
1;7;12/04/2023 17:38:00;2
1;8;12/04/2023 17:22:00;8
2;1;12/04/2023 20:38:00;4
2;2;12/04/2023 17:27:00;1
2;3;12/04/2023 17:22:00;3
2;4;12/04/2023 17:31:00;8
3;9;12/04/2023 18:07:00;4
3;10;12/04/2023 19:30:00;5
3;11;12/04/2023 18:07:00;4
3;12;12/04/2023 19:20:00;1
4;13;12/04/2023 18:44:00;6
4;14;12/04/2023 19:29:00;5
4;15;12/04/2023 20:47:00;4
4;16;12/04/2023 18:07:00;1
5;17;12/04/2023 18:29:00;1
5;18;12/04/2023 17:27:00;8
5;19;12/04/2023 17:19:00;1
5;20;12/04/2023 18:56:00;2
1;5;12/04/2023 21:07:00;7
1;6;12/04/2023 19:15:00;8
1;7;12/04/2023 19:58:00;6
1;8;12/04/2023 19:44:00;2
2;1;12/04/2023 22:24:00;8
2;2;12/04/2023 20:07:00;8
2;3;12/04/2023 19:49:00;8
2;4;12/04/2023 19:53:00;8
3;9;12/04/2023 19:53:00;5
3;10;12/04/2023 23:12:00;4
3;11;12/04/2023 19:53:00;2
3;12;12/04/2023 22:00:00;7
4;13;12/04/2023 21:33:00;4
4;14;12/04/2023 23:11:00;5
4;15;12/04/2023 22:33:00;7
4;16;12/04/2023 20:47:00;4
5;17;12/04/2023 21:09:00;7
5;18;12/04/2023 19:49:00;1
5;19;12/04/2023 19:59:00;5
5;20;12/04/2023 21:16:00;4
1;5;12/04/2023 23:41:00;3
1;6;12/04/2023 21:37:00;3
1;7;12/04/2023 22:47:00;6
1;8;12/04/2023 22:04:00;2
2;1;13/04/2023 08:00:00;1
2;2;12/04/2023 22:29:00;2
2;3;12/04/2023 22:11:00;7
2;4;12/04/2023 22:15:00;1
3;9;12/04/2023 23:35:00;2
3;10;13/04/2023 08:00:00;3
3;11;12/04/2023 22:13:00;5
3;12;13/04/2023 08:00:00;7
4;13;12/04/2023 23:19:00;5
4;14;13/04/2023 08:00:00;7
4;15;13/04/2023 08:00:00;4
4;16;12/04/2023 22:33:00;8
5;17;12/04/2023 23:43:00;3
5;18;12/04/2023 22:29:00;7
5;19;12/04/2023 23:41:00;8
5;20;12/04/2023 23:02:00;1
1;5;13/04/2023 08:00:00;5
1;6;13/04/2023 08:00:00;8
1;7;13/04/2023 08:00:00;8
1;8;13/04/2023 08:00:00;4
2;1;13/04/2023 10:40:00;5
2;2;13/04/2023 08:00:00;7
2;3;13/04/2023 08:00:00;7
2;4;13/04/2023 08:00:00;3
3;9;13/04/2023 08:00:00;1
3;10;13/04/2023 10:27:00;6
3;11;13/04/2023 08:00:00;7
3;12;13/04/2023 10:34:00;8
4;13;13/04/2023 08:00:00;1
4;14;13/04/2023 10:34:00;7
4;15;13/04/2023 09:46:00;4
4;16;13/04/2023 08:00:00;8
5;17;13/04/2023 08:00:00;1
5;18;13/04/2023 08:00:00;5
5;19;13/04/2023 08:00:00;2
5;20;13/04/2023 08:00:00;8
1;5;13/04/2023 11:42:00;3
1;6;13/04/2023 10:22:00;4
1;7;13/04/2023 10:22:00;7
1;8;13/04/2023 09:46:00;4
2;1;13/04/2023 14:22:00;2
2;2;13/04/2023 10:34:00;6
2;3;13/04/2023 10:34:00;7
2;4;13/04/2023 10:27:00;1
3;9;13/04/2023 10:40:00;3
3;10;13/04/2023 13:16:00;1
3;11;13/04/2023 10:34:00;5
3;12;13/04/2023 12:56:00;4
4;13;13/04/2023 10:40:00;5
4;14;13/04/2023 13:08:00;2
4;15;13/04/2023 11:32:00;3
4;16;13/04/2023 10:22:00;8
5;17;13/04/2023 10:40:00;7
5;18;13/04/2023 11:42:00;8
5;19;13/04/2023 10:20:00;3
5;20;13/04/2023 10:22:00;1
1;5;13/04/2023 14:09:00;4
1;6;13/04/2023 12:08:00;3
1;7;13/04/2023 12:56:00;1
1;8;13/04/2023 11:32:00;8
2;1;13/04/2023 16:42:00;1
2;2;13/04/2023 13:23:00;5
2;3;13/04/2023 13:08:00;6
2;4;13/04/2023 13:07:00;8
3;9;13/04/2023 13:07:00;6
3;10;13/04/2023 15:56:00;5
3;11;13/04/2023 14:16:00;2
3;12;13/04/2023 14:42:00;1
4;13;13/04/2023 14:22:00;1
4;14;13/04/2023 15:28:00;4
4;15;13/04/2023 13:59:00;6
